30.25,-1.95,-0.195,0.07,-0.482,0.195,0.1,9.548,330.37,35.97,9,0,0,43.245961,344.37,,1,1,1,1,,415.5,,,0.5
30.5,-1.9,-0.19,0.07,-0.482,0.195,0.1,9.548,330.37,35.97,9,0,0,43.245961,344.37,,1,1,1,1,,416,,,0.5
30.75,-1.85,-0.185,-0.242,-0.546,0.202,0.107,9.581,330.37,35.97,9,0,0,43.245961,344.37,,1,1,1,1,,416.5,,,0.5
31,-1.8,-0.18,-0.242,-0.546,0.202,0.107,9.581,330.37,35.97,9,0,0,43.245961,344.37,,1,1,1,1,,417,,,0.5
31.25,-1.75,-0.175,-0.526,-0.571,0.184,0.083,9.631,330.37,35.97,8,0,0,43.245961,343.37,,1,1,1,1,,417.5,,,0.5
31.5,-1.7,-0.17,-0.526,-0.571,0.184,0.083,9.631,330.37,35.97,8,0,0,43.245961,343.37,,1,1,1,1,,418,,,0.5
31.75,-1.65,-0.165,-0.767,-0.566,0.172,0.067,9.67,330.37,35.97,8,0,0,43.245961,343.37,,1,1,1,1,,418.5,,,0.5
32,-1.6,-0.16,-0.767,-0.566,0.172,0.067,9.67,330.37,35.97,8,0,0,43.245961,343.37,,1,1,1,1,,419,,,0.5
32.25,-1.55,-0.155,-0.952,-0.529,0.136,0.04,9.729,330.57,35.04,9.1,0,0,42.127842,344.67,,1,1,1,1,,419.5,,,0.5
32.5,-1.5,-0.15,-0.952,-0.529,0.136,0.04,9.729,330.57,35.04,9.1,0,0,42.127842,344.67,,1,1,1,1,,420,,,0.5
32.75,-1.45,-0.145,-1.073,-0.466,0.099,0.013,9.774,330.57,35.04,9.1,0,0,42.127842,344.67,,1,1,1,1,,420.5,,,0.5
33,-1.4,-0.14,-1.073,-0.466,0.099,0.013,9.774,330.57,35.04,9.1,0,0,42.127842,344.67,,1,1,1,1,,421,,,0.6
33.25,-1.35,-0.135,-1.128,-0.383,0.069,-0.018,9.817,330.57,35.04,7.6,0,0,42.127842,343.17,,1,1,1,1,,421.5,,,0.6
33.5,-1.3,-0.13,-1.128,-0.383,0.069,-0.018,9.817,330.57,35.04,7.6,0,0,42.127842,343.17,,1,1,1,1,,422,,,0.6
33.75,-1.25,-0.125,-1.115,-0.281,0.025,-0.071,9.875,330.57,35.04,7.6,0,0,42.127842,343.17,,1,1,1,1,,422.5,,,0.6
34,-1.2,-0.12,-1.115,-0.281,0.025,-0.071,9.875,330.57,35.04,7.6,0,0,42.127842,343.17,,1,1,1,1,,423,,,0.6
34.25,-1.15,-0.115,-1.035,-0.16,-0.016,-0.113,9.947,330.47,35.97,6.6,0,0,43.245961,342.07,,1,1,1,1,,423.5,,,0.6
34.5,-1.1,-0.11,-1.035,-0.16,-0.016,-0.113,9.947,330.47,35.97,6.6,0,0,43.245961,342.07,,1,1,1,1,,424,,,0.6
34.75,-1.05,-0.105,-0.89,-0.015,-0.059,-0.19,10.03,330.47,35.97,6.6,0,0,43.245961,342.07,,1,1,1,1,,424.5,,,0.6
35,-1,-0.1,-0.89,-0.015,-0.059,-0.19,10.03,330.47,35.97,6.6,0,0,43.245961,342.07,,1,1,1,1,,425,,,0.6
35.25,-0.95,-0.095,-0.68,0.146,-0.091,-0.241,10.113,330.27,35.97,6.4,0,0,43.245961,341.67,,1,1,1,1,,425.5,,,0.6
35.5,-0.9,-0.09,-0.68,0.146,-0.091,-0.241,10.113,330.27,35.97,6.4,0,0,43.245961,341.67,,1,1,1,1,,426,,,0.6
35.75,-0.85,-0.085,-0.41,0.327,-0.131,-0.26,10.206,330.27,35.97,6.4,0,0,43.245961,341.67,,1,1,1,1,,426.5,,,0.6
36,-0.8,-0.08,-0.41,0.327,-0.131,-0.26,10.206,330.27,35.97,6.4,0,0,43.245961,341.67,,1,1,1,1,,427,,,0.6
36.25,-0.75,-0.075,-0.087,0.51,-0.143,-0.253,10.262,330.07,35.04,8.7,0,0,42.127842,343.77,,1,1,1,1,,427.5,,,0.6
36.5,-0.7,-0.07,-0.087,0.51,-0.143,-0.253,10.262,330.07,35.04,8.7,0,0,42.127842,343.77,,1,1,1,1,,428,,,0.6
36.75,-0.65,-0.065,0.274,0.677,-0.148,-0.206,10.291,330.07,35.04,8.7,0,0,42.127842,343.77,,1,1,1,1,,428.5,,,0.6
37,-0.6,-0.06,0.274,0.677,-0.148,-0.206,10.291,330.07,35.04,8.7,0,0,42.127842,343.77,,1,1,1,1,,429,,,0.6
37.25,-0.55,-0.055,0.65,0.803,-0.119,-0.124,10.251,330.17,35.04,7.6,0,0,42.127842,342.77,,1,1,1,1,,429.5,,,0.6
37.5,-0.5,-0.05,0.65,0.803,-0.119,-0.124,10.251,330.17,35.04,7.6,0,0,42.127842,342.77,,1,1,1,1,,430,,,0.6
37.75,-0.45,-0.045,1.006,0.864,-0.073,-0.048,10.162,330.17,35.04,7.6,0,0,42.127842,342.77,,1,1,1,1,,430.5,,,0.6
38,-0.4,-0.04,1.006,0.864,-0.073,-0.048,10.162,330.17,35.04,7.6,0,0,42.127842,342.77,,1,1,1,1,,431,,,0.6
38.25,-0.35,-0.035,1.306,0.844,0.002,-0.016,10.011,330.17,34.12,6.9,0,0,41.021746,342.07,,1,1,1,1,,431.5,,,0.6
